"treat","text","prison"
0,"No victim, no crime. Just send him right back and move on.","No"
1,"just based on my gut feeling this is how i feel.  I feel he should not be sent to prison .  Actions should be avoided for the time being.","No"
1,"They should send him to prison to serve time for his crimes.  After that they need to deport him back to his country.","Yes"
0,"This person illegally entered the country. He doesn't belong here. He should be arrested and deported.","Yes"
1,"He has a prior history. This guy could be a harm to someone if he's not locked up.","Yes"
0,"He is not a violent offender. Check to see his reasons for coming to the US and if he just has an expired visa, etc, and get him on the right track.","No"
0,"I don't think people should be imprisoned for simple illegal immigration. He may be a refugee or similar. He should be interviewed (to determine if there is a potential for refugee status) and then sent back to his home country if there's no potential.","No"
0,"It's a waste of resources to house a man in prison. The U.S. government should just deport him.","No"
0,"To clarify on my decision on whether or not I think this person should be sent to prison, I think he should, just in his own country so we don't have to foot the bill with our tax payer money. They should deport him to where he came from and serve prison time there, or we fine that country or something, I don't know.","Yes"
0,"I don't think trying to immigrate should be a criminal offense. That's not a criminal to me. A criminal is someone who I wouldn't feel safe around, who needs to be locked up to protect the rest of us. The path to citizenship is already difficult enough. ","No"
1,"He's in the country illegally. He also has a history of crime, including violent crime.","Yes"
0,"I do not think the man should be sent to prison because that would be wasting US funds. The US government should expel him back to his country.","No"
1,"This person should be sent back. He has previously been deported and continues to disobey the laws of the country","Yes"
1,"They should offer assistance to help this man legally be in this country. Then from there maybe put him on probation to ensure he does not commit any more crimes.","No"
1,"He must be deported to his home country of citizenship and not permitted to reenter the US.","No"
0,"I think that unless the person committed some kind of serious crime, there's no reason for them to be put in jail. He doesn't have a previous criminal record, so I don't see a problem with this person being in the US, regardless of how he entered. ","No"
1,"He should be deported upon completion of his prison term","Yes"
0,"Since he had been arrested before, he is guilty of a crime. Since he is guilty of a crime, I think he should be arrested and deported back to his country. ","Yes"
0,"Not being in the country legally is reason to deport someone, not imprison them. Not every crime warrants imprisonment, plus they're not even a citizen. ","No"
0,"It was her first incident and there were special circumstances","No"
0,"At the very worst, the offender should be returned to his home country. I think a more appropriate punishment would be some kind of immigration penalty - for example, he cannot apply for citizenship in the US for +1 year. Immigrants often immigrate to the United States because they have a very real need to do so, and they should not be punished harshly for this need. ","No"
0,"More information is needed in order to determine why this man entered the United States legally. Was he facing convictions in his own country? I think that the U.S. government should look into this person's circumstances and background further before making a determination.","Don‰Ûªt Know"
1,"SInce he was convicted of a crime in the US, there should be jail time.  He should also be deported once his sentence is served, because of his convictions.","No"
0,"Because I don't think going to prison helps anyone in this situation.Since illegal immigration is illegal in itself he should be deported. They should heavily document this person to make sure they can identify them in the future.","No"
0,"He should be given the opportunity to become a citizen, or he should be returned to his home country.  I do not think prison is the answer.  A lot of immigrants come for a better life and opportunity for their family.  Not because they have ill intentions or are criminals.","No"
0,"This man has never had a prior offense, and his only crime is trying to live in the United States. If they let him live here, he wouldn't have committed any crimes, and could go on to be a positive member of society.","No"
1,"As long as he's being sent to prison in his home country, then yes. I don't agree with him being sent to prison here, because it's utilizing resources for someone that doesn't have the right to be here, as he didn't follow proper procedure to get into the country. I am way of his criminal record, but people can change. If he tried to enter the country illegally, I'm assuming he hasn't really -- either way, he should be in prison.","Yes"
0,"Person should be questioned as to why they entered illegally.  Should then be determined if they should stay or be deported after vetting.","No"
1,"The person should be fined and sent to prison. This is not the first offense and deserves to be punished.","Yes"
1,"He should be imprisoned in this country. Wherever he came from obviously can't be trusted to hold him.","Yes"
1,"He should be sent back because of his previous violent crime.  The U. S. government should not take any action with this person.","Yes"
0,"It depends on consequences, I do not have enough information to answer this question. I think police should take more information.. Is there some form of temporary stay in prison? ","Don‰Ûªt Know"
1,"This person is violet and does not follow the law. He came here illegally and he is a bad citizen that endangers other people. He should go to jail.","Yes"
0,"I am unclear why every action one might take must involve a long term in prison.  """"Oh, you crossed out border!  It's prison for you!""""  It's one thing to send someone back where they came from and an entirely different thing to throw them in prison for years for something like this.  """"Land of the free, home of the brave""""... what a bunch of tosh.","No"
1," If he is trying to enter the US from another country illegally, no matter who it is, they should be questioned and detained by authority or deported back. You have no idea what their intentions are, and if they can't legally get a permit to enter the country, they should probably not be here.","Yes"
1,"This person is not a legal immigrant and has been convicted of crimes previously.  I am not in favor of individuals such as this staying in the country.","Yes"
1,"This person should be immediately sent back to his home country. I don't believe U.S. citizens should have to pay for his jail time. Jail in the U.S. can be like a vacation for some foreigners.","No"
