                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
case id	qb1c                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
200008	"yeah, not here though. why should we pay for his prison"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200010	i dont kno                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200011	should be sent back or shot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
200013	"Because this freedom, free country"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200023	he needs just to be sent back home-then we are done with him                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200024	He Should Be Sent Back                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
200031	"If the offense can be corrected, if he can straighten out his affairs.  A man comes in like this there must be a reason, he might have been fleeing from something more dangerous."                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200033	"Because everyone should have the right to be in this country, I dont think him coming here is a crime"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
200047	No prison just deport him                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200048	deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
200050	I dont understand the question                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200051	he was sent back to his country already                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
200057	Get Him Back Out                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200058	Send Him Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200071	why should we pay for his incarvceration>? he does not belong here if he is an alien                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200086	We should send him back to his country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
200094	he should be sent back to his country and face the crime there                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200098	if there is a chance that he could become a productive citizen he should have the chance.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200100	 b/c he was already sent to prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
200135	I dont know enough about it to give you the right answer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200161	i don't know                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200165	should be sent back to his country and let them prosecute him                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200166	he didn't really do anything he was just trying to get freedom. he didn't reallly commit a crime accect coming into this country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200175	becasue the crime was commited on another country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
200177	depends on nature on violation doesnt deserve imprisonment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
200188	because everybody else is here illegally too                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200191	deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
200194	he already served his two terms and he should not be put in jail for illegally entering the US                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200215	He should be sent back to his country.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
200219	It's like they try and get to a better life & they don't wanna help.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
200221	This country is suppose to be a country of freedom and other people that comefrom other country to look for a better life. and they shouldn't be penalize for that. Us americans take advages of the previledge that we have but he didn't do anything wrong he just wanted freedom.                                                                                                                                                                                                                                                                                                                                                                      
200238	He4 Should Be Deported                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
200241	He Should Be Shot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
200249	he should be ent back to his country wha tdo we want him here for-p-he should be sent back to his ouwn country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
200257	I dont that should be punishible by imprisionment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
200260	i think he should be sent back to his country                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200261	they should be given the same legal rights as us our justice system and theirsare different so we should see what is appropriate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200262	i don't see that crime as being worthy of prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200264	"First, he should be deported -I don't want tax dollar to pay for this."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
200265	I think to the circumstances if he has served his time and guilty of the same crime . It so much you don;t know.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
200284	if theviolent crime was in this country shouldbeputin prison                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200291	this is supposed to be the land of the free.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
200297	i dont know if the prison is the right punishment                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
200305	Send Him Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200309	send Him Home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
200317	sent home                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
200328	send him back where he came from                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
