LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder
DE,Delaware,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.19,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
NV,Nevada,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.44,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
OR,Oregon,1970,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.29,$,Dollars,"(44.567449424, -120.155031326)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NH,New Hampshire,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.361,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
TN,Tennessee,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.408,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.26,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
MA,Massachusetts,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.494,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
ND,North Dakota,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.19,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
UT,Utah,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.405,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NV,Nevada,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.449,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
NC,North Carolina,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.358,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
MT,Montana,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.476,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
PA,Pennsylvania,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.533,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
SC,South Carolina,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Federal and State Tax per pack,0.15,$,Dollars,"(33.998821303, -81.045371207)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,452CGS,4
PA,Pennsylvania,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.606,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1
