state,year,cigs
AK,1970,121.3
AK,1971,123
AK,1972,130
AK,1973,125.8
AK,1974,130.4
AK,1975,150.4
AK,1976,164.8
AK,1977,159.3
AK,1978,143.6
AK,1979,138.1
AK,1980,134
AK,1981,144
AK,1982,148.3
AK,1983,146.9
AK,1984,133.6
AK,1985,128.9
AK,1986,126.3
AK,1987,110.4
AK,1988,80
AK,1989,94.4
AK,1990,100.2
AK,1991,101.8
AK,1992,98.5
AK,1993,95.2
AK,1994,94.1
AK,1995,89.5
AK,1996,89.9
AK,1997,81.7
AK,1998,78.6
AK,1999,70.5
AK,2000,66
AL,1970,89.8
AL,1971,95.4
AL,1972,101.1
AL,1973,102.9
AL,1974,108.2
AL,1975,111.7
AL,1976,116.2
AL,1977,117.1
AL,1978,123
AL,1979,121.4
AL,1980,123.2
AL,1981,119.6
AL,1982,119.1
AL,1983,116.3
AL,1984,113
AL,1985,114.5
AL,1986,116.3
AL,1987,114
AL,1988,112.1
AL,1989,105.6
AL,1990,108.6
AL,1991,107.9
AL,1992,109.1
AL,1993,108.5
AL,1994,107.1
AL,1995,102.6
AL,1996,101.4
AL,1997,104.9
AL,1998,106.2
AL,1999,100.7
AL,2000,96.2
AR,1970,100.3
AR,1971,104.1
AR,1972,103.9
AR,1973,108
AR,1974,109.7
AR,1975,114.8
AR,1976,119.1
AR,1977,122.6
AR,1978,127.3
AR,1979,126.5
AR,1980,131.8
AR,1981,128.7
AR,1982,127.4
AR,1983,128
AR,1984,123.1
AR,1985,125.8
AR,1986,126
AR,1987,122.3
AR,1988,121.5
AR,1989,118.3
AR,1990,113.1
AR,1991,116.8
AR,1992,126
AR,1993,113.8
AR,1994,108.8
AR,1995,113
AR,1996,110.7
AR,1997,108.7
AR,1998,109.5
AR,1999,104.8
AR,2000,99.4
AZ,1970,115.2
AZ,1971,109.6
AZ,1972,125
AZ,1973,128.3
AZ,1974,133.1
AZ,1975,121.8
AZ,1976,122.3
AZ,1977,121.7
AZ,1978,124.7
AZ,1979,124.6
AZ,1980,126.8
AZ,1981,113.8
AZ,1982,113.5
AZ,1983,111.1
AZ,1984,107.1
AZ,1985,107.1
AZ,1986,107.9
AZ,1987,106.1
AZ,1988,102.2
AZ,1989,96.8
AZ,1990,88.9
AZ,1991,81.2
AZ,1992,79
AZ,1993,80.3
AZ,1994,79
AZ,1995,77.3
AZ,1996,71.4
AZ,1997,64.6
AZ,1998,66
AZ,1999,61.7
AZ,2000,58.5
CA,1970,123
CA,1971,121
CA,1972,123.5
CA,1973,124.4
CA,1974,126.7
CA,1975,127.1
CA,1976,128
CA,1977,126.4
CA,1978,126.1
CA,1979,121.9
CA,1980,120.2
CA,1981,118.6
CA,1982,115.4
CA,1983,110.8
CA,1984,104.8
CA,1985,102.8
CA,1986,99.7
CA,1987,97.5
CA,1988,90.1
CA,1989,82.4
CA,1990,77.8
CA,1991,68.7
CA,1992,67.5
CA,1993,63.4
CA,1994,58.6
CA,1995,56.4
CA,1996,54.5
CA,1997,53.8
CA,1998,52.3
CA,1999,47.2
CA,2000,41.6
CO,1970,124.8
CO,1971,125.5
CO,1972,134.3
CO,1973,137.9
CO,1974,132.8
CO,1975,131
CO,1976,134.2
CO,1977,132
CO,1978,129.2
CO,1979,131.5
CO,1980,131
CO,1981,133.8
CO,1982,130.5
CO,1983,125.3
CO,1984,119.7
CO,1985,112.4
CO,1986,109.9
CO,1987,102.4
CO,1988,94.6
CO,1989,88.8
CO,1990,87.4
CO,1991,90.2
CO,1992,88.3
CO,1993,88.6
CO,1994,89.1
CO,1995,85.4
CO,1996,83.1
CO,1997,81.3
CO,1998,81.2
CO,1999,79.6
CO,2000,73
CT,1970,120
CT,1971,117.6
CT,1972,110.8
CT,1973,109.3
CT,1974,112.4
CT,1975,110.2
CT,1976,113.4
CT,1977,117.3
CT,1978,117.5
CT,1979,117.4
CT,1980,118
CT,1981,116.4
CT,1982,114.7
CT,1983,114.1
CT,1984,112.5
CT,1985,111
CT,1986,108.5
CT,1987,109
CT,1988,104.8
CT,1989,100.6
CT,1990,91.5
CT,1991,86.7
CT,1992,83.6
CT,1993,79.1
CT,1994,76.6
CT,1995,79.3
CT,1996,76
CT,1997,75.9
CT,1998,75.5
CT,1999,73.4
CT,2000,71.4
DC,1970,200.4
DC,1971,213
DC,1972,220.6
DC,1973,209.4
DC,1974,182.7
DC,1975,176.5
DC,1976,167.7
DC,1977,136.7
DC,1978,130.3
DC,1979,128.5
DC,1980,129.7
DC,1981,131.9
DC,1982,132
DC,1983,124.5
DC,1984,124.6
DC,1985,122.1
DC,1986,117.2
DC,1987,113
DC,1988,105.4
DC,1989,101.1
DC,1990,84.1
DC,1991,82.2
DC,1992,82.6
DC,1993,68
DC,1994,54.1
DC,1995,57.9
DC,1996,56
DC,1997,54.3
DC,1998,50.9
DC,1999,50.8
DC,2000,50.2
DE,1970,155
DE,1971,161.1
DE,1972,156.3
DE,1973,154.7
DE,1974,151.3
DE,1975,147.6
DE,1976,153
DE,1977,153.3
DE,1978,155.5
DE,1979,150.2
DE,1980,150.5
DE,1981,152.6
DE,1982,154.1
DE,1983,149.6
DE,1984,144
DE,1985,144.5
DE,1986,142.4
DE,1987,141
DE,1988,137.1
DE,1989,131.7
DE,1990,127.2
DE,1991,118.8
