state,alpha_hat_1989,alpha_hat_1990,alpha_hat_1991,alpha_hat_1992,alpha_hat_1993,alpha_hat_1994,alpha_hat_1995,alpha_hat_1996,alpha_hat_1997,alpha_hat_1998,alpha_hat_1999,alpha_hat_2000
CA,0.0826583703042883,3.71441526575521,-3.75842428930028,-3.42705440707984,-7.61454233147396,-10.9136960105978,-12.8345581385383,-13.0842873814613,-14.9136194312333,-16.0811330151823,-18.9587179001373,-15.4900099443813
AK,-4.03969006658897,6.71981186193028,6.16359582910686,8.59296953490356,0.153005021901187,-5.83583034744661,-10.6532459254189,-9.38642235914555,-18.1778407069598,-21.2059703747254,-26.6141606298947,-24.9618013553057
AL,0,0,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0,0,0
AZ,4.98958040394392,-11.2437985567766,-15.3681414837163,-16.5516763143638,-15.1386247069289,-16.0531151375397,-2.96040949794393,-7.19765132027939,-10.4794515697519,-9.69261682517911,-10.4341977323102,-7.47623102188859
CO,0,0,0,0,0,0,0,0,0,0,0,0
CT,0,0,0,0,0,0,0,0,0,0,0,0
DC,18.3822157557334,17.8062946391941,19.8548794012359,20.6436112950683,1.3122939300068,-11.0079434433734,-10.6938055449752,-12.4656635964525,-22.0480336929962,-26.9756484007092,-25.0068352150062,-6.5890416845292
DE,0,0,0,0,0,0,0,0,0,0,0,0
FL,2.71032329605534,-6.09845781324874,-14.1330375176511,-15.4685443809161,-13.7307585615106,-17.5146465578553,-2.46638176847352,-4.83647114386824,-0.663370764873325,-2.0706955825543,-3.00151932352714,-2.48284715838376
GA,0,0,0,0,0,0,0,0,0,0,0,0
HI,7.17806389890065,7.01398107439784,11.2572775189066,9.85915477170631,11.9248314538125,9.11051809009839,10.3833177450227,17.0505000053621,13.7120181194507,1.2705238108701,4.59816802100045,9.06921952435606
IA,0,0,0,0,0,0,0,0,0,0,0,0
ID,0,0,0,0,0,0,0,0,0,0,0,0
IL,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,0,0,0
KS,0,0,0,0,0,0,0,0,0,0,0,0
KY,0,0,0,0,0,0,0,0,0,0,0,0
LA,0,0,0,0,0,0,0,0,0,0,0,0
MA,3.9089623541697,8.49404472285061,7.01195653973415,8.02858623253979,4.39664374643021,-0.895387951518546,1.93653301211697,0.704735911669449,-7.62795496398935,-10.1620427050743,-10.9178453042547,-7.86118270030158
MD,4.03497122796739,11.8059057506683,8.4647045080463,6.89825795947912,1.85556470840305,2.93869097586692,1.48759508536529,1.3618865713284,-1.13148672869851,-2.11661894344913,0.288631103266979,-9.18699107115432
ME,0,0,0,0,0,0,0,0,0,0,0,0
MI,0.328454565292903,3.89739571010536,-1.15530465020809,-3.44145200748968,-1.40759350944471,6.18134173153161,-22.4066080349379,-20.15169521131,-26.3648835580159,-26.8565838568788,-14.5791494945933,-8.2779432761838
MN,0,0,0,0,0,0,0,0,0,0,0,0
MO,0,0,0,0,0,0,0,0,0,0,0,0
MS,0,0,0,0,0,0,0,0,0,0,0,0
MT,0,0,0,0,0,0,0,0,0,0,0,0
NC,0,0,0,0,0,0,0,0,0,0,0,0
ND,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,0,0,0,0,0,0,0,0,0,0
NH,0,0,0,0,0,0,0,0,0,0,0,0
NJ,-1.00759627746899,-0.511500784906118,-10.8227450433541,-9.20117362515557,-11.5936754284902,-12.9078375006643,-16.4274404077072,-14.6780346842128,-18.2983589968738,-20.5909032550652,-27.0124695584389,-24.6500179269789
NM,0,0,0,0,0,0,0,0,0,0,0,0
NV,14.9606953967793,26.8609292396105,3.8228882344779,-1.61696357086415,-5.12575097564032,2.66752453368778,-9.69072476804656,-12.4029484348845,-13.8741547607228,-8.66204821673855,-1.46651365755493,-1.89827431474916
NY,-0.22874065958779,-1.78350010817146,-5.63126796424407,-7.88436034434703,-11.602832199888,-17.6816333537629,-18.9050145632013,-21.8157603002817,-24.0792496433506,-23.3233291053055,-21.405150487218,-22.9881516794084
OH,0,0,0,0,0,0,0,0,0,0,0,0
OK,0,0,0,0,0,0,0,0,0,0,0,0
OR,13.8977365779628,26.2170453577522,23.448852738793,23.3257558468424,19.755517488195,19.4258494074874,11.9545543740331,14.4643773079123,6.00115572501135,0.988623136281302,-2.5237510910344,4.70615813400051
PA,0,0,0,0,0,0,0,0,0,0,0,0
RI,0,0,0,0,0,0,0,0,0,0,0,0
SC,0,0,0,0,0,0,0,0,0,0,0,0
SD,0,0,0,0,0,0,0,0,0,0,0,0
TN,0,0,0,0,0,0,0,0,0,0,0,0
TX,0,0,0,0,0,0,0,0,0,0,0,0
UT,0,0,0,0,0,0,0,0,0,0,0,0
VA,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,0,0,0,0,0,0,0,0,0,0,0
WA,6.35765560215323,6.48816844960062,6.40455874389039,12.263131679663,12.9746547902003,5.6354578307978,1.65684098043764,-6.92206948982565,-11.2031012906149,-9.89341369189878,-7.34512181094632,-6.70487221854094
WI,0,0,0,0,0,0,0,0,0,0,0,0
WV,0,0,0,0,0,0,0,0,0,0,0,0
WY,0,0,0,0,0,0,0,0,0,0,0,0
